序號,水庫代碼,水庫名稱,流域編號,河川名稱,縣市,有效容量(萬立方公尺),呆水位標高(公尺),滿水位標高(公尺),是否啟用,總蓄水量(萬立方公尺),x,是否灌溉用水,是否工業用水,是否發電用水,是否民生用水,二度分帶X(TWD97),二度分帶Y(TWD97),經度(TWD97),緯度(TWD97)
1,30601,虎頭埤,"1,650",虎頭溪,臺南市,107.2531,30.7,37,1,128.041,9,1,1,1,1,"180,895.31","2,547,605.75",120.333972,23.026722
2,31001,東港溪攔河堰,"1,740",東港溪,屏東縣,,,,1,,2,1,1,1,1,"194,678.48","2,489,507.72",120.462291,22.504425
3,30306,內埔子,"1,550",朴子溪,嘉義縣,68.0659,50,60,1,68.18,9,1,1,1,1,"198,302.17","2,603,109.82",120.493696,23.530407
4,40201,溪畔壩,"2,460",立霧溪,花蓮縣,25.3595,155.2,167.8,1,25.3907,9,1,1,1,1,"309,305.02","2,674,753.86",121.583693,24.177041
5,31201,牡丹水庫,312,四重溪,屏東縣,"2,793.04",100.2,142,1,"2,793.04",1,1,1,1,1,"226,600.00","2,448,500.00",120.781306,22.132944
6,10210,三峽攔河堰,"1,140",大漢溪,新北市,,56,59,1,,2,1,1,1,1,"287,798.64","2,754,297.97",121.37415,24.895888
7,20405,鯉魚潭二期(士林堰),"1,400",大安溪,苗栗縣,51,593,604.5,1,51.7391,2,1,1,1,1,"243,571.63","2,693,154.36",120.936647,24.344288
8,20204,八寶攔河堰,"1,420",大甲溪,臺中市,,,,1,,2,1,1,1,1,"232,842.60","2,680,970.22",120.831056,24.234194
9,20207,青山壩,"1,420",大甲溪,臺中市,,,,1,60,9,1,1,1,1,"266,280.59","2,683,066.15",121.160334,24.253128
10,20202,石岡壩,"1,420",大甲溪,臺中市,142.5,,274.5,1,,1,1,1,1,1,"226,586.82","2,686,216.96",120.769372,24.281487
11,20205,天輪壩,"1,420",大甲溪,臺中市,36.6,740,749,1,54.5,9,1,1,1,1,"251,544.76","2,678,376.89",121.015208,24.210871
12,20206,馬鞍壩,"1,420",大甲溪,臺中市,33.4,550,553,1,43.4,9,1,1,1,1,"241,284.56","2,675,418.80",120.914215,24.184138
13,10401,寶山水庫,"1,300",上坪溪,新竹縣,538,122,141.6,0,547,1,1,1,1,1,"253,452.17","2,738,193.59",121.042444,24.749083
14,10403,上坪攔河堰,"1,300",上坪溪,新竹縣,,,,1,,2,1,1,1,1,"260,479.43","2,731,445.85",121.10356,24.689998
15,30302,蘭潭水庫,"1,580",八掌溪,嘉義市,926,57.3,75.38,1,978,1,1,1,1,1,"196,747.53","2,596,104.48",120.47872,23.4671
16,30602,鹽水埤,"1,650",鹽水溪,臺南市,50.8142,27.5,31,1,54.135,9,1,1,1,1,"181,055.29","2,549,291.25",120.335472,23.041972
17,10802,羅東攔河堰,"2,560",羅東溪,宜蘭縣,,,,1,,2,1,1,1,1,"326,240.68","2,733,119.06",121.753493,24.703249
18,10404,隆恩堰,"1,300",頭前溪,新竹縣,,,,1,,2,1,1,1,1,"253,710.05","2,743,332.93",121.036695,24.797354
19,20503,集集攔河堰,"1,510",濁水溪,南投縣,425.04,,214.75,1,,2,1,1,1,1,"225,888.00","2,634,923.04",120.763339,23.818321
20,20501,霧社水庫,"1,510",濁水溪,南投縣,"5,379.00",969,"1,005",1,"5,379.00",1,1,1,1,1,"263,347.13","2,653,065.63",121.139444,23.980389
21,20504,頭社水庫,"1,510",濁水溪,南投縣,21.3044,662,668,1,22.4789,9,1,1,1,1,"238,448.59","2,637,008.31",120.894861,23.835444
22,30304,東口攔河堰,"1,580",曾文溪,嘉義縣,,,,1,,2,1,1,1,1,"198,056.00","2,568,644.00",120.4925,23.219167
23,30501,烏山頭水庫,"1,630",曾文溪,臺南市,"8,085.82",40,58.18,1,"8,375.87",1,1,1,1,1,"184,567.78","2,566,967.99",120.368972,23.201722
24,30502,曾文水庫,"1,630",曾文溪,嘉義縣,"49,159",171,227,1,"49,159",1,1,1,1,1,"202,594.91","2,572,030.16",120.536713,23.249889
25,30603,玉峰攔河堰,"1,630",曾文溪,臺南市,,,,1,,2,1,1,1,1,"184,935.39","2,555,817.58",120.364826,23.102886
26,30901,高屏溪攔河堰,"1,730",高屏溪,高雄市,,,,1,,2,1,1,1,1,"192,168.22","2,509,732.52",120.437151,22.686987
